rpm,torque[Nm]
1000,119
1100,135.2
1200,148.8
1300,160.2
1400,170
1500,170
1600,170
1700,170
1800,170
1900,170
2000,170
2100,170
2200,170
2300,170
2400,170
2500,170
2600,170
2700,170
2800,170
2900,170
3000,170
3100,170
3200,170
3300,170
3400,170
3500,170
3600,170
3700,170
3800,170
3900,170
4000,170
4100,169.4
4200,167.1
4300,163.2
4400,159.5
4500,156
4600,152.6
4700,149.3
4800,146.2
4900,143.2
5000,140.4
5100,137.6
5200,135
5300,132.4
5400,130
5500,127.6
5600,125.3
5700,123.1
5800,121
5900,119
6000,117
6100,114.6
6200,111.4
6300,107.4
6400,102.6
6500,97.2